mean_free_mm,final_free_mm,p95_free_mm,p99_free_mm,max_free_mm,max_pred_frame,max_free_local_index,rel_l2_pct,case,sample_id,method,ood_label
0.0039588455110788345,0.006095463875681162,0.016451822593808174,0.02717626467347145,0.05977946147322655,9,1151,0.025719432279276564,trajectory_bend_Base_TC4_sample_0156.npz,156,roundtrip,D_low
0.02292758785188198,0.03568851947784424,0.06973273307085037,0.09657181799411774,0.13225136697292328,24,1117,0.11992244074957222,trajectory_bend_Base_TC4_sample_0156.npz,156,pod_oracle,D_low
0.04884710907936096,0.07869137078523636,0.11629147827625275,0.169255793094635,0.2938653826713562,119,1176,0.22503041087376086,trajectory_bend_Base_TC4_sample_0156.npz,156,rom,D_low
0.002590765943750739,0.004119579214602709,0.010248268954455853,0.014748034067451954,0.04911801591515541,7,1669,0.011689173028000257,trajectory_bend_Base_TC4_sample_0157.npz,157,roundtrip,D_low
0.015347141772508621,0.029069039970636368,0.039813440293073654,0.060441404581069946,0.1298086941242218,180,481,0.05024474470307174,trajectory_bend_Base_TC4_sample_0157.npz,157,pod_oracle,D_low
0.034855592995882034,0.05171361565589905,0.06819605082273483,0.08334381878376007,0.186867818236351,180,580,0.10005946265106277,trajectory_bend_Base_TC4_sample_0157.npz,157,rom,D_low
0.005046704784035683,0.008407335728406906,0.019883161410689354,0.042489878833293915,0.19535012543201447,11,19856,0.00833519520003268,trajectory_bend_Base_TC4_sample_0158.npz,158,roundtrip,D_high
0.024469044059515,0.03709683194756508,0.0737079530954361,0.14506852626800537,0.3369615375995636,159,7055,0.028076325451432266,trajectory_bend_Base_TC4_sample_0158.npz,158,pod_oracle,D_high
0.03155239671468735,0.05046990513801575,0.09310571849346161,0.1587141901254654,0.3540801405906677,42,17166,0.03411833583756792,trajectory_bend_Base_TC4_sample_0158.npz,158,rom,D_high
0.0047349147498607635,0.007600813172757626,0.01745029166340828,0.04832354933023453,0.18519073724746704,5,23313,0.007495662234153788,trajectory_bend_Base_TC4_sample_0159.npz,159,roundtrip,D_high
0.02435537613928318,0.0453486330807209,0.07657217234373093,0.13887304067611694,0.32951268553733826,171,6484,0.024311391582154004,trajectory_bend_Base_TC4_sample_0159.npz,159,pod_oracle,D_high
0.03660842403769493,0.068566232919693,0.09893306344747543,0.15463203191757202,0.35161304473876953,78,15921,0.03213843469080171,trajectory_bend_Base_TC4_sample_0159.npz,159,rom,D_high
0.0027094215620309114,0.004455204587429762,0.011492520570755005,0.0178273543715477,0.06362563371658325,108,1247,0.013166076065328087,trajectory_bend_Base_TC4_sample_0162.npz,162,roundtrip,tD_high
0.01822267286479473,0.034229736775159836,0.05123976245522499,0.07743272930383682,0.1521340012550354,178,720,0.06352286282430274,trajectory_bend_Base_TC4_sample_0162.npz,162,pod_oracle,tD_high
0.05414364114403725,0.07935142517089844,0.10253170132637024,0.12001616507768631,0.15727369487285614,179,1753,0.15446731046955864,trajectory_bend_Base_TC4_sample_0162.npz,162,rom,tD_high
0.0028600541409105062,0.00424318527802825,0.010407715104520321,0.016590965911746025,0.07287821173667908,6,3772,0.008730943418309633,trajectory_bend_Base_TC4_sample_0163.npz,163,roundtrip,tD_high
0.021872831508517265,0.03616714105010033,0.05427790433168411,0.0718926414847374,0.13045929372310638,121,1909,0.04565174933469092,trajectory_bend_Base_TC4_sample_0163.npz,163,pod_oracle,tD_high
0.0825653001666069,0.09893304854631424,0.13468171656131744,0.16694167256355286,0.23523294925689697,119,1936,0.15250326573463102,trajectory_bend_Base_TC4_sample_0163.npz,163,rom,tD_high
