source_sample_id,mesh_size_mm,delta_mean_free_mm,ratio_mean_free,delta_final_free_mm,ratio_final_free,delta_max_free_mm
4,0.8,1.833770990371704,2.991166156409488,3.707694411277771,3.238683838760668,8.869510173797607
4,1.25,4.097460746765137,5.449151616539271,8.425086855888367,6.08701734616046,14.454237461090088
3,0.8,2.2080233991146088,5.984981332469231,6.769844830036163,8.038736019951044,18.77704119682312
3,1.25,7.878776401281357,18.787652657501592,15.92049914598465,17.552844800409314,32.86923670768738
139,0.8,2.390663757920265,11.85953858440817,6.18589848279953,13.93540384407092,15.971127986907959
139,1.25,8.314471378922462,38.768307002283734,17.074388206005096,36.70445060636718,34.60507345199585
15,0.8,2.8850402235984802,7.57918196108868,8.281116545200348,9.933142347721338,22.528961658477783
15,1.25,10.49033111333847,24.922646437365305,21.43114000558853,24.118552105733716,40.39752244949341
128,0.8,4.927777171134949,8.812664558578081,16.30105721950531,11.768667559965964,39.39934539794922
128,1.25,11.364532351493835,19.01771387866565,23.90845811367035,16.794204868468043,29.560791015625
