status,eval_sample_id,source_sample_id,mesh_size_mm,suite_label,cache_file,D_outer,t_over_D,R_over_D,D_outer_design_norm,t_over_D_design_norm,R_over_D_design_norm,sample_id,mean_free_mm,final_free_mean_mm,p95_free_mm,p99_free_mm,max_free_mm,nan_count,num_steps
OK,156,156,1.0,D_low,external_sample_0156.pt,5.5,0.07999999821186066,2.799999952316284,-1.0714285714285714,-0.2000000357627869,-0.04615387549767125,156,0.8628480434417725,1.7183055877685547,1.9054501056671143,2.6228110790252686,3.4300296306610107,0,180
OK,157,157,1.0,D_low,external_sample_0157.pt,5.699999809265137,0.11052999645471573,4.0,-1.0428571701049805,0.4105999290943143,0.6923076923076923,157,2.7049002647399902,6.066970348358154,5.913186550140381,7.936573028564453,10.294675827026367,0,180
OK,158,158,1.0,D_high,external_sample_0158.pt,20.5,0.05023999884724617,3.799999952316284,1.0714285714285716,-0.7952000230550766,0.5692307398869441,158,0.4631707966327667,1.284071683883667,1.3927927017211914,2.530116558074951,6.427738189697266,0,180
OK,159,159,1.0,D_high,external_sample_0159.pt,21.0,0.05999999865889549,4.199999809265137,1.1428571428571428,-0.6000000268220902,0.815384498009315,159,0.9914748668670654,2.7889320850372314,2.533597946166992,4.996518135070801,22.996257781982422,0,180
OK,162,162,1.0,tD_high,external_sample_0162.pt,7.0,0.1442900002002716,3.200000047683716,-0.8571428571428572,1.0858000040054319,0.2000000293438251,162,1.1340454816818237,2.224430799484253,2.3820931911468506,4.070333480834961,6.619574069976807,0,180
OK,163,163,1.0,tD_high,external_sample_0163.pt,8.5,0.14940999448299408,4.0,-0.6428571428571428,1.1881998896598813,0.6923076923076923,163,2.0038721561431885,5.549014568328857,7.644052505493164,11.424932479858398,14.051582336425781,0,180
OK,166,166,1.0,RD_high,external_sample_0166.pt,12.0,0.05999999865889549,4.75,-0.1428571428571429,-0.6000000268220902,1.1538461538461537,166,0.37063026428222656,0.6205683350563049,0.9718846678733826,1.2671761512756348,1.9875415563583374,0,180
OK,167,167,1.0,RD_high,external_sample_0167.pt,18.0,0.054999999701976776,4.800000190734863,0.7142857142857142,-0.7000000059604645,1.184615501990685,167,1.3336408138275146,2.422255277633667,2.870319128036499,4.0731658935546875,22.20753288269043,0,180
OK,168,168,1.0,D_low+tD_high,external_sample_0168.pt,5.699999809265137,0.1456100046634674,4.0,-1.0428571701049805,1.1122000932693479,0.6923076923076923,168,2.174699306488037,3.863729476928711,4.3912248611450195,4.821540355682373,5.334464073181152,0,180
OK,169,169,1.0,D_low+RD_high,external_sample_0169.pt,5.699999809265137,0.08946999907493591,4.80702018737793,-1.0428571701049805,-0.010600018501281783,1.18893549992488,169,4.783139228820801,9.894652366638184,9.456094741821289,11.604279518127441,13.854697227478027,0,180
OK,171,171,1.0,D_high+RD_high,external_sample_0171.pt,20.5,0.05511999875307083,4.800000190734863,1.0714285714285716,-0.6976000249385834,1.184615501990685,171,3.2991936206817627,7.656858921051025,7.134547710418701,10.818286895751953,44.900604248046875,0,180
OK,172,172,1.0,tD_high+RD_high,external_sample_0172.pt,8.0,0.15000000596046448,4.800000190734863,-0.7142857142857143,1.2000001192092893,1.184615501990685,172,2.4995064735412598,6.924211502075195,8.980247497558594,12.379638671875,16.663240432739258,0,180
OK,180,180,1.0,D_high_mild,external_sample_0180.pt,20.100000381469727,0.06019899994134903,3.5,1.0142857687813893,-0.5960200011730195,0.3846153846153846,180,0.7004100680351257,2.018300771713257,2.246750593185425,5.490748882293701,14.447894096374512,0,180
OK,181,181,1.0,tD_high_mild,external_sample_0181.pt,9.199999809265137,0.13913042843341827,3.5,-0.5428571701049805,0.9826085686683652,0.3846153846153846,181,1.2966876029968262,3.815610647201538,6.144225120544434,10.116715431213379,13.122920036315918,0,180
OK,182,182,1.0,RD_high_mild,external_sample_0182.pt,12.0,0.07999999821186066,4.550000190734863,-0.1428571428571429,-0.2000000357627869,1.0307693481445312,182,0.9795627593994141,1.8919984102249146,2.146610736846924,2.7443904876708984,4.368875026702881,0,180
