epoch,global_step,train_loss,step1_loss,last_step_loss,lr,epoch_time_sec,peak_reserved_gib,val_mean_free_mm,val_final_free_mean_mm,val_max_free_mm,best_val_metric,trainable_parameters,data_fingerprint
1,5370,0.4641553434686392,0.30020075316291156,0.7920644828909228,2e-05,1823.8516462389998,18.306640625,,,,inf,1438605,dded84cde3e888c8441d8bec
2,10740,0.3036776195642724,0.21406300916827287,0.482906809508856,2e-05,1737.1465816970012,18.306640625,,,,inf,1438605,dded84cde3e888c8441d8bec
3,16110,0.2864953169105765,0.2036538458065506,0.4521782358026122,2e-05,1653.8585355020004,18.306640625,,,,inf,1438605,dded84cde3e888c8441d8bec
4,21480,0.27680324588497335,0.19800722348613028,0.4343952696035951,2e-05,1627.7146731370012,18.306640625,,,,inf,1438605,dded84cde3e888c8441d8bec
5,26850,0.27021735925340135,0.19402222639787423,0.42260760406328773,2e-05,1673.750101267,18.306640625,0.07851468374331792,0.15591988662878672,2.507103443145752,0.07851468374331792,1438605,dded84cde3e888c8441d8bec
6,32220,0.26627241393674367,0.19136867045535008,0.4160798803831189,2e-05,1660.858064887001,18.306640625,,,,0.07851468374331792,1438605,dded84cde3e888c8441d8bec
7,37590,0.2621883770408459,0.1891780222896608,0.4082090648724498,2e-05,1709.1223664120043,18.306640625,,,,0.07851468374331792,1438605,dded84cde3e888c8441d8bec
8,42960,0.2577165896340934,0.18642467503614543,0.40030039578053606,2e-05,1607.858657828001,18.306640625,,,,0.07851468374331792,1438605,dded84cde3e888c8441d8bec
9,48330,0.2537676400214944,0.18448582116264703,0.39233125595443535,2e-05,1726.4955272709994,18.306640625,,,,0.07851468374331792,1438605,dded84cde3e888c8441d8bec
10,53700,0.2525288067159748,0.18351739787408178,0.3905516022794188,2e-05,1674.3382294160037,18.306640625,0.06710168868303298,0.10237793847918511,1.261508822441101,0.06710168868303298,1438605,dded84cde3e888c8441d8bec
11,59070,0.24991043661838117,0.18192819944011426,0.38587488586844415,2e-05,1663.4575803160042,18.306640625,,,,0.06710168868303298,1438605,dded84cde3e888c8441d8bec
12,64440,0.24800921473331278,0.18062387652529552,0.38277986382760343,2e-05,1693.7808182940062,18.306640625,,,,0.06710168868303298,1438605,dded84cde3e888c8441d8bec
13,69810,0.2461217527042769,0.17997515652692067,0.3784149256393095,2e-05,1681.5439391510008,18.306640625,,,,0.06710168868303298,1438605,dded84cde3e888c8441d8bec
14,75180,0.2441763485357377,0.17836896683582845,0.37579108828221736,2e-05,1681.4666332920024,18.306640625,,,,0.06710168868303298,1438605,dded84cde3e888c8441d8bec
15,80550,0.24170892858800602,0.1766448641698842,0.3718370383627907,2e-05,1719.2095300770015,18.306640625,0.05925891796747843,0.08695524608095487,0.41721323132514954,0.05925891796747843,1438605,dded84cde3e888c8441d8bec
16,85920,0.24115050912100225,0.17605463319056575,0.37134223958508594,2e-05,1668.1218171729997,18.306640625,,,,0.05925891796747843,1438605,dded84cde3e888c8441d8bec
17,91290,0.23932775962530692,0.17467294947488765,0.36863735584200497,2e-05,1670.7057266020056,18.306640625,,,,0.05925891796747843,1438605,dded84cde3e888c8441d8bec
18,96660,0.23653371592678366,0.1723774554086953,0.36484621737748074,2e-05,1713.8463923980016,18.306640625,,,,0.05925891796747843,1438605,dded84cde3e888c8441d8bec
19,102030,0.23581666065240364,0.17191139846325643,0.36362716226293956,2e-05,1707.1307590159995,18.306640625,,,,0.05925891796747843,1438605,dded84cde3e888c8441d8bec
20,107400,0.23213305575604026,0.16863018414062003,0.35913878084321676,2e-05,1686.597712709001,18.306640625,0.06726732576886812,0.1097802018125852,1.0618230104446411,0.05925891796747843,1438605,dded84cde3e888c8441d8bec
21,112770,0.22628381217125754,0.1652956717664955,0.3482600744207107,2e-05,1733.7677148639996,18.306640625,,,,0.05925891796747843,1438605,dded84cde3e888c8441d8bec
22,118140,0.22400803645548983,0.1633869542964878,0.34525018237805205,2e-05,1674.3478570559964,18.306640625,,,,0.05925891796747843,1438605,dded84cde3e888c8441d8bec
23,123510,0.22488874890984625,0.16360416501058955,0.3474579007662243,2e-05,1738.5391983770023,18.306640625,,,,0.05925891796747843,1438605,dded84cde3e888c8441d8bec
24,128880,0.22117227777826567,0.1612336840324912,0.34104944248198144,2e-05,1559.749439938998,18.306640625,,,,0.05925891796747843,1438605,dded84cde3e888c8441d8bec
25,134250,0.22124394498721245,0.16096332681563022,0.341805161540596,2e-05,1701.3756750359971,18.306640625,0.04698736766974131,0.08340460782249769,0.5748688578605652,0.04698736766974131,1438605,dded84cde3e888c8441d8bec
26,139620,0.21628394081644034,0.15747861315099976,0.3338945773329579,2e-05,1660.2923037419969,18.306640625,,,,0.04698736766974131,1438605,dded84cde3e888c8441d8bec
27,144990,0.21661649428947968,0.1577440147227443,0.33436143803991225,2e-05,1664.8126922660012,18.306640625,,,,0.04698736766974131,1438605,dded84cde3e888c8441d8bec
28,150360,0.21325741646385593,0.15540726053592657,0.3289577045457115,2e-05,1676.4210831000091,18.306640625,,,,0.04698736766974131,1438605,dded84cde3e888c8441d8bec
29,155730,0.21379563957049547,0.1554739885369066,0.33043892685249376,2e-05,1675.656535180009,18.306640625,,,,0.04698736766974131,1438605,dded84cde3e888c8441d8bec
30,161100,0.21155213853214247,0.15518365239831178,0.32428909480620305,2e-05,1654.252144883998,18.306640625,0.05629333431522052,0.0972768172621727,1.2357439994812012,0.04698736766974131,1438605,dded84cde3e888c8441d8bec
31,166470,0.2102697088070963,0.15320101109466877,0.32440708419542197,2e-05,1720.3501583799953,18.306640625,,,,0.04698736766974131,1438605,dded84cde3e888c8441d8bec
32,171840,0.20460909149575687,0.14980515184815715,0.31421695347351597,2e-05,1678.5663372650015,18.306640625,,,,0.04698736766974131,1438605,dded84cde3e888c8441d8bec
33,177210,0.20849906283771547,0.15223317110045592,0.3210308300201162,2e-05,1603.057008585005,18.306640625,,,,0.04698736766974131,1438605,dded84cde3e888c8441d8bec
34,182580,0.20533779418504375,0.1494510523257326,0.317111259627848,2e-05,1693.3132207699964,18.306640625,,,,0.04698736766974131,1438605,dded84cde3e888c8441d8bec
35,187950,0.20413317110248994,0.15007558221177822,0.3122483336153393,2e-05,1638.169491210996,18.306640625,0.04517680915693442,0.07699070771535238,0.8011301159858704,0.04517680915693442,1438605,dded84cde3e888c8441d8bec
36,193320,0.2009182678076423,0.14727934558704162,0.3081960923712635,2e-05,1654.538178067989,18.306640625,,,,0.04517680915693442,1438605,dded84cde3e888c8441d8bec
37,198690,0.2018544629697464,0.1485347021955154,0.30849396656267347,2e-05,1659.3538152330002,18.306640625,,,,0.04517680915693442,1438605,dded84cde3e888c8441d8bec
38,204060,0.20287409144483187,0.1492091084347025,0.3102040411685932,2e-05,1691.630308672,18.306640625,,,,0.04517680915693442,1438605,dded84cde3e888c8441d8bec
39,209430,0.19854381582504607,0.14542855586409154,0.3047743172057448,2e-05,1659.848643378995,18.306640625,,,,0.04517680915693442,1438605,dded84cde3e888c8441d8bec
40,214800,0.19622511647722304,0.14498139287854997,0.2987125461149329,2e-05,1642.1957952259982,18.306640625,0.048069263870517416,0.07512223944067956,0.8173888921737671,0.04517680915693442,1438605,dded84cde3e888c8441d8bec
41,220170,0.1965270944580512,0.1456911985610232,0.2981988681472484,2e-05,1666.0486342299992,18.306640625,,,,0.04517680915693442,1438605,dded84cde3e888c8441d8bec
42,225540,0.19591481661557583,0.14491234570967113,0.29791974196864335,2e-05,1709.0043123950018,18.306640625,,,,0.04517680915693442,1438605,dded84cde3e888c8441d8bec
43,230910,0.18835465836519066,0.13984471762715883,0.2853745276930012,1.6933648920854438e-05,1677.9906201970007,18.306640625,,,,0.04517680915693442,1438605,dded84cde3e888c8441d8bec
44,236280,0.18669449416673403,0.1374456205642895,0.28519222363877306,1.433742328873773e-05,1696.394507887002,18.306640625,,,,0.04517680915693442,1438605,dded84cde3e888c8441d8bec
45,241650,0.181499759316682,0.13540329238082485,0.27369267613955667,1.2139244620058346e-05,1647.9412201990053,18.306640625,0.035035230591893195,0.06921495993932088,0.8479691743850708,0.035035230591893195,1438605,dded84cde3e888c8441d8bec
46,247020,0.17606861765099277,0.1321974798668006,0.263810877442738,1.0278085328021952e-05,1632.254926249996,18.306640625,,,,0.035035230591893195,1438605,dded84cde3e888c8441d8bec
