representation,total_centered_energy,rank_90.00pct,rank_99.00pct,rank_99.90pct,rank_99.99pct,energy_rank1,energy_rank2,energy_rank4,energy_rank8,energy_rank16,energy_rank32,energy_rank64,energy_rank128,energy_rank256
direct,120499649397.29453,1,2,3,6,0.9237732832046991,0.9939690055923636,0.9996095652503451,0.9999856591450292,0.9999991758503101,0.9999998034315262,0.9999998797774012,0.9999999005871937,0.9999999057761764
global_residual,4484039.45297387,3,16,61,167,0.6331705325250089,0.851254380946657,0.9415659312599612,0.9753537927840624,0.9906368562588186,0.996844270529637,0.9991137786323545,0.9998221191525801,0.9999622734990891
local_residual,3116327.788514012,4,17,63,174,0.6175739347405328,0.7951822949273586,0.9282479056653741,0.9734984500611428,0.9899432410794147,0.9964647979333794,0.9990492248339218,0.9998133367312768,0.9999602731136128
