status,eval_sample_id,source_sample_id,mesh_size_mm,suite_label,cache_file,D_outer,t_over_D,R_over_D,D_outer_design_norm,t_over_D_design_norm,R_over_D_design_norm,sample_id,mean_free_mm,final_free_mean_mm,p95_free_mm,p99_free_mm,max_free_mm,nan_count,num_steps
OK,156,156,1.0,D_low,external_sample_0156.pt,5.5,0.07999999821186066,2.799999952316284,-1.0714285714285714,-0.2000000357627869,-0.04615387549767125,156,2.377835750579834,5.980658054351807,6.5020623207092285,8.151810646057129,10.679450035095215,0,180
OK,157,157,1.0,D_low,external_sample_0157.pt,5.699999809265137,0.11052999645471573,4.0,-1.0428571701049805,0.4105999290943143,0.6923076923076923,157,5.242615699768066,9.98796558380127,10.62524700164795,11.984126091003418,13.308565139770508,0,180
OK,158,158,1.0,D_high,external_sample_0158.pt,20.5,0.05023999884724617,3.799999952316284,1.0714285714285716,-0.7952000230550766,0.5692307398869441,158,0.9458328485488892,3.7548813819885254,2.597085952758789,8.6810302734375,81.65645599365234,0,180
OK,159,159,1.0,D_high,external_sample_0159.pt,21.0,0.05999999865889549,4.199999809265137,1.1428571428571428,-0.6000000268220902,0.815384498009315,159,5.394025802612305,18.701692581176758,16.96833610534668,44.46481704711914,123.72897338867188,0,180
OK,162,162,1.0,tD_high,external_sample_0162.pt,7.0,0.1442900002002716,3.200000047683716,-0.8571428571428572,1.0858000040054319,0.2000000293438251,162,3.045564651489258,5.597548007965088,5.891684532165527,6.700306415557861,7.4805192947387695,0,180
OK,163,163,1.0,tD_high,external_sample_0163.pt,8.5,0.14940999448299408,4.0,-0.6428571428571428,1.1881998896598813,0.6923076923076923,163,4.486451625823975,8.110057830810547,10.931790351867676,12.865543365478516,15.541515350341797,0,180
OK,166,166,1.0,RD_high,external_sample_0166.pt,12.0,0.05999999865889549,4.75,-0.1428571428571429,-0.6000000268220902,1.1538461538461537,166,2.286963939666748,4.436118125915527,5.151898384094238,6.733803749084473,25.801000595092773,0,180
OK,167,167,1.0,RD_high,external_sample_0167.pt,18.0,0.054999999701976776,4.800000190734863,0.7142857142857142,-0.7000000059604645,1.184615501990685,167,5.082062721252441,15.361931800842285,15.181608200073242,42.84174346923828,112.13760375976562,0,180
OK,168,168,1.0,D_low+tD_high,external_sample_0168.pt,5.699999809265137,0.1456100046634674,4.0,-1.0428571701049805,1.1122000932693479,0.6923076923076923,168,6.125556945800781,10.835566520690918,11.884711265563965,13.168818473815918,14.327205657958984,0,180
OK,169,169,1.0,D_low+RD_high,external_sample_0169.pt,5.699999809265137,0.08946999907493591,4.80702018737793,-1.0428571701049805,-0.010600018501281783,1.18893549992488,169,9.352768898010254,17.167617797851562,19.120695114135742,21.446250915527344,23.641420364379883,0,180
OK,171,171,1.0,D_high+RD_high,external_sample_0171.pt,20.5,0.05511999875307083,4.800000190734863,1.0714285714285716,-0.6976000249385834,1.184615501990685,171,11.138469696044922,27.7100830078125,27.11250877380371,62.535194396972656,132.5827178955078,0,180
OK,172,172,1.0,tD_high+RD_high,external_sample_0172.pt,8.0,0.15000000596046448,4.800000190734863,-0.7142857142857143,1.2000001192092893,1.184615501990685,172,6.6946797370910645,12.336259841918945,15.9890775680542,18.194223403930664,22.36986541748047,0,180
OK,180,180,1.0,D_high_mild,external_sample_0180.pt,20.100000381469727,0.06019899994134903,3.5,1.0142857687813893,-0.5960200011730195,0.3846153846153846,180,3.0153095722198486,10.14106559753418,7.458945274353027,20.406444549560547,64.87972259521484,0,180
OK,181,181,1.0,tD_high_mild,external_sample_0181.pt,9.199999809265137,0.13913042843341827,3.5,-0.5428571701049805,0.9826085686683652,0.3846153846153846,181,2.8316404819488525,5.552152633666992,7.702377796173096,9.3771333694458,12.391864776611328,0,180
OK,182,182,1.0,RD_high_mild,external_sample_0182.pt,12.0,0.07999999821186066,4.550000190734863,-0.1428571428571429,-0.2000000357627869,1.0307693481445312,182,2.079763889312744,4.069631576538086,4.448489665985107,5.6403608322143555,29.877418518066406,0,180
