timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/14 16:58:21.180, 1, 0 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:21.180, 2, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:21.181, 3, 100 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:26.183, 0, 0 %, 4546 MiB, 32607 MiB
2026/09/14 16:58:26.185, 1, 94 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:26.186, 2, 96 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:26.186, 3, 100 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:31.187, 0, 30 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:31.189, 1, 90 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:31.192, 2, 96 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:31.193, 3, 100 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:36.195, 0, 100 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:36.197, 1, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:36.198, 2, 0 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:36.200, 3, 92 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:41.202, 0, 90 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:41.204, 1, 23 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:41.205, 2, 92 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:41.206, 3, 100 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:46.206, 0, 41 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:46.208, 1, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:46.210, 2, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:46.212, 3, 91 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:51.213, 0, 100 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:51.215, 1, 0 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:51.217, 2, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:51.219, 3, 88 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:56.221, 0, 86 %, 4548 MiB, 32607 MiB
2026/09/14 16:58:56.222, 1, 0 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:56.222, 2, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:58:56.223, 3, 93 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:01.223, 0, 97 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:01.225, 1, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:01.226, 2, 96 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:01.227, 3, 53 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:06.228, 0, 90 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:06.230, 1, 96 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:06.231, 2, 27 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:06.232, 3, 20 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:11.234, 0, 100 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:11.237, 1, 90 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:11.238, 2, 34 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:11.239, 3, 31 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:16.240, 0, 23 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:16.243, 1, 96 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:16.245, 2, 92 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:16.247, 3, 97 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:21.248, 0, 100 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:21.251, 1, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:21.253, 2, 0 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:21.254, 3, 93 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:26.256, 0, 2 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:26.259, 1, 93 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:26.261, 2, 95 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:26.262, 3, 96 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:31.263, 0, 0 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:31.265, 1, 94 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:31.267, 2, 94 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:31.268, 3, 45 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:36.269, 0, 45 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:36.271, 1, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:36.273, 2, 100 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:36.274, 3, 86 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:41.274, 0, 82 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:41.277, 1, 85 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:41.278, 2, 83 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:41.280, 3, 83 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:46.282, 0, 81 %, 4548 MiB, 32607 MiB
2026/09/14 16:59:46.284, 1, 81 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:46.285, 2, 78 %, 4568 MiB, 32607 MiB
2026/09/14 16:59:46.286, 3, 89 %, 4548 MiB, 32607 MiB
