timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/11 16:41:06.057, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:41:07.061, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:41:08.062, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:41:09.063, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:41:10.064, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:41:11.065, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:41:12.066, 0, 0 %, 0 MiB, 24564 MiB
2026/09/11 16:41:13.067, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:14.068, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:15.068, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:16.069, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:17.070, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:18.071, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:19.072, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:20.073, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:21.073, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:22.074, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:23.075, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:24.076, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:25.076, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:26.077, 0, 0 %, 3 MiB, 24564 MiB
2026/09/11 16:41:27.078, 0, 0 %, 29 MiB, 24564 MiB
2026/09/11 16:41:28.079, 0, 0 %, 417 MiB, 24564 MiB
2026/09/11 16:41:29.080, 0, 0 %, 559 MiB, 24564 MiB
2026/09/11 16:41:30.081, 0, 0 %, 1429 MiB, 24564 MiB
2026/09/11 16:41:31.082, 0, 96 %, 1449 MiB, 24564 MiB
2026/09/11 16:41:32.083, 0, 95 %, 1469 MiB, 24564 MiB
2026/09/11 16:41:33.084, 0, 96 %, 1469 MiB, 24564 MiB
2026/09/11 16:41:34.085, 0, 96 %, 1469 MiB, 24564 MiB
