timestamp, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/09/11 14:06:48.385, 0, 0 %, 0 MiB, 32607 MiB
2026/09/11 14:06:49.389, 0, 0 %, 0 MiB, 32607 MiB
2026/09/11 14:06:50.389, 0, 0 %, 0 MiB, 32607 MiB
2026/09/11 14:06:51.389, 0, 0 %, 0 MiB, 32607 MiB
2026/09/11 14:06:52.390, 0, 0 %, 0 MiB, 32607 MiB
2026/09/11 14:06:53.390, 0, 0 %, 1 MiB, 32607 MiB
2026/09/11 14:06:54.391, 0, 0 %, 3 MiB, 32607 MiB
2026/09/11 14:06:55.391, 0, 0 %, 3 MiB, 32607 MiB
2026/09/11 14:06:56.392, 0, 0 %, 3 MiB, 32607 MiB
2026/09/11 14:06:57.392, 0, 0 %, 3 MiB, 32607 MiB
2026/09/11 14:06:58.394, 0, 0 %, 531 MiB, 32607 MiB
2026/09/11 14:06:59.395, 0, 1 %, 825 MiB, 32607 MiB
2026/09/11 14:07:00.395, 0, 85 %, 3591 MiB, 32607 MiB
2026/09/11 14:07:01.396, 0, 86 %, 3593 MiB, 32607 MiB
2026/09/11 14:07:02.396, 0, 84 %, 3593 MiB, 32607 MiB
2026/09/11 14:07:03.396, 0, 84 %, 3593 MiB, 32607 MiB
2026/09/11 14:07:04.397, 0, 83 %, 3593 MiB, 32607 MiB
2026/09/11 14:07:05.397, 0, 83 %, 3593 MiB, 32607 MiB
2026/09/11 14:07:06.397, 0, 0 %, 3593 MiB, 32607 MiB
2026/09/11 14:07:07.398, 0, 0 %, 3593 MiB, 32607 MiB
2026/09/11 14:07:08.398, 0, 0 %, 3593 MiB, 32607 MiB
2026/09/11 14:07:09.398, 0, 0 %, 3593 MiB, 32607 MiB
2026/09/11 14:07:10.419, 0, 0 %, 3593 MiB, 32607 MiB
2026/09/11 14:07:11.451, 0, 0 %, 3593 MiB, 32607 MiB
2026/09/11 14:07:12.551, 0, 0 %, 3593 MiB, 32607 MiB
2026/09/11 14:07:13.613, 0, 0 %, 3593 MiB, 32607 MiB
2026/09/11 14:07:14.614, 0, 0 %, 3593 MiB, 32607 MiB
2026/09/11 14:07:15.654, 0, 0 %, 3593 MiB, 32607 MiB
2026/09/11 14:07:16.654, 0, 0 %, 3593 MiB, 32607 MiB
2026/09/11 14:07:17.655, 0, 0 %, 5015 MiB, 32607 MiB
2026/09/11 14:07:18.665, 0, 91 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:19.666, 0, 91 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:20.697, 0, 91 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:21.698, 0, 91 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:22.709, 0, 90 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:23.772, 0, 90 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:24.772, 0, 86 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:25.773, 0, 90 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:26.773, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:27.773, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:28.773, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:29.774, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:30.774, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:31.774, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:32.775, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:33.775, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:34.775, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:35.775, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:36.776, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:37.776, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:38.776, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:39.777, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:40.777, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:41.777, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:42.777, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:43.778, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:44.778, 0, 58 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:45.778, 0, 55 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:46.779, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:47.779, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:48.779, 0, 0 %, 5095 MiB, 32607 MiB
2026/09/11 14:07:49.780, 0, 65 %, 5195 MiB, 32607 MiB
2026/09/11 14:07:50.780, 0, 92 %, 5195 MiB, 32607 MiB
2026/09/11 14:07:51.780, 0, 90 %, 5195 MiB, 32607 MiB
2026/09/11 14:07:52.780, 0, 90 %, 5195 MiB, 32607 MiB
2026/09/11 14:07:53.781, 0, 90 %, 5195 MiB, 32607 MiB
2026/09/11 14:07:54.781, 0, 87 %, 5195 MiB, 32607 MiB
2026/09/11 14:07:55.781, 0, 90 %, 5195 MiB, 32607 MiB
2026/09/11 14:07:56.781, 0, 90 %, 5195 MiB, 32607 MiB
2026/09/11 14:07:57.782, 0, 86 %, 5195 MiB, 32607 MiB
2026/09/11 14:07:58.782, 0, 0 %, 5195 MiB, 32607 MiB
2026/09/11 14:07:59.782, 0, 0 %, 5195 MiB, 32607 MiB
2026/09/11 14:08:00.783, 0, 0 %, 5195 MiB, 32607 MiB
2026/09/11 14:08:01.783, 0, 0 %, 5195 MiB, 32607 MiB
2026/09/11 14:08:02.783, 0, 0 %, 5195 MiB, 32607 MiB
2026/09/11 14:08:03.783, 0, 0 %, 5195 MiB, 32607 MiB
