status,eval_sample_id,source_sample_id,mesh_size_mm,suite_label,cache_file,D_outer,t_over_D,R_over_D,D_outer_design_norm,t_over_D_design_norm,R_over_D_design_norm,sample_id,mean_free_mm,final_free_mean_mm,p95_free_mm,p99_free_mm,max_free_mm,nan_count,num_steps
OK,156,156,1.0,D_low,external_sample_0156.pt,5.5,0.07999999821186066,2.799999952316284,-1.0714285714285714,-0.2000000357627869,-0.04615387549767125,156,0.04867988079786301,0.0818520337343216,0.10828562080860138,0.1479204297065735,0.30948561429977417,0,180
OK,157,157,1.0,D_low,external_sample_0157.pt,5.699999809265137,0.11052999645471573,4.0,-1.0428571701049805,0.4105999290943143,0.6923076923076923,157,0.03188222274184227,0.06656154990196228,0.09023524820804596,0.11880481988191605,0.34007003903388977,0,180
OK,158,158,1.0,D_high,external_sample_0158.pt,20.5,0.05023999884724617,3.799999952316284,1.0714285714285716,-0.7952000230550766,0.5692307398869441,158,0.05033564195036888,0.10463486611843109,0.13203448057174683,0.1879713535308838,3.8109049797058105,0,180
OK,159,159,1.0,D_high,external_sample_0159.pt,21.0,0.05999999865889549,4.199999809265137,1.1428571428571428,-0.6000000268220902,0.815384498009315,159,0.0642182007431984,0.10994354635477066,0.14348722994327545,0.19115985929965973,3.2269320487976074,0,180
OK,162,162,1.0,tD_high,external_sample_0162.pt,7.0,0.1442900002002716,3.200000047683716,-0.8571428571428572,1.0858000040054319,0.2000000293438251,162,0.03437266871333122,0.06782761216163635,0.08807895332574844,0.11371875554323196,0.5857337713241577,0,180
OK,163,163,1.0,tD_high,external_sample_0163.pt,8.5,0.14940999448299408,4.0,-0.6428571428571428,1.1881998896598813,0.6923076923076923,163,0.044705137610435486,0.0762086808681488,0.11050417274236679,0.19858573377132416,0.30311834812164307,0,180
OK,166,166,1.0,RD_high,external_sample_0166.pt,12.0,0.05999999865889549,4.75,-0.1428571428571429,-0.6000000268220902,1.1538461538461537,166,0.033364489674568176,0.09367235004901886,0.09948078542947769,0.19335247576236725,0.6238486170768738,0,180
OK,167,167,1.0,RD_high,external_sample_0167.pt,18.0,0.054999999701976776,4.800000190734863,0.7142857142857142,-0.7000000059604645,1.184615501990685,167,0.04443361237645149,0.08151119947433472,0.11981477588415146,0.20941279828548431,1.513177514076233,0,180
OK,168,168,1.0,D_low+tD_high,external_sample_0168.pt,5.699999809265137,0.1456100046634674,4.0,-1.0428571701049805,1.1122000932693479,0.6923076923076923,168,0.029091091826558113,0.06042344123125076,0.08219057321548462,0.12567751109600067,0.31159254908561707,0,180
OK,169,169,1.0,D_low+RD_high,external_sample_0169.pt,5.699999809265137,0.08946999907493591,4.80702018737793,-1.0428571701049805,-0.010600018501281783,1.18893549992488,169,0.033019181340932846,0.062362201511859894,0.08618714660406113,0.1189335435628891,0.40479785203933716,0,180
OK,171,171,1.0,D_high+RD_high,external_sample_0171.pt,20.5,0.05511999875307083,4.800000190734863,1.0714285714285716,-0.6976000249385834,1.184615501990685,171,0.05589674040675163,0.25847330689430237,0.12645882368087769,0.19142931699752808,3.8286609649658203,0,180
OK,172,172,1.0,tD_high+RD_high,external_sample_0172.pt,8.0,0.15000000596046448,4.800000190734863,-0.7142857142857143,1.2000001192092893,1.184615501990685,172,0.044446270912885666,0.06673219799995422,0.09295213222503662,0.14218363165855408,0.48097172379493713,0,180
OK,180,180,1.0,D_high_mild,external_sample_0180.pt,20.100000381469727,0.06019899994134903,3.5,1.0142857687813893,-0.5960200011730195,0.3846153846153846,180,0.07109495997428894,0.13621538877487183,0.19661465287208557,0.29513299465179443,4.531755447387695,0,180
OK,181,181,1.0,tD_high_mild,external_sample_0181.pt,9.199999809265137,0.13913042843341827,3.5,-0.5428571701049805,0.9826085686683652,0.3846153846153846,181,0.04819920286536217,0.07283540815114975,0.11161842197179794,0.2291697859764099,0.49536848068237305,0,180
OK,182,182,1.0,RD_high_mild,external_sample_0182.pt,12.0,0.07999999821186066,4.550000190734863,-0.1428571428571429,-0.2000000357627869,1.0307693481445312,182,0.028864087536931038,0.07138722389936447,0.08276478946208954,0.110392726957798,0.5377487540245056,0,180
