source_sample_id,mesh_size_mm,delta_mean_free_mm,ratio_mean_free,delta_final_free_mm,ratio_final_free,delta_max_free_mm
4,0.8,0.1659281589090824,5.03314064216044,0.29774079844355583,6.050788477651905,0.5509855151176453
4,1.25,0.04693661257624626,2.140866993469882,0.09767630323767662,2.656952454992546,0.44815170764923096
3,0.8,0.11846923828125,4.279939008089349,0.24128705263137817,4.346340507738587,0.8756042718887329
3,1.25,0.09685041010379791,3.6814001901046565,0.18444660305976868,3.5580367143720393,2.3087170124053955
139,0.8,0.11578874662518501,5.573800414649497,0.24171629920601845,5.1580770647262675,0.8687185049057007
139,1.25,0.12537068501114845,5.9522989737947345,0.24994215741753578,5.2995807716726,2.2574684619903564
15,0.8,0.16467399150133133,6.244755107024031,0.3390566110610962,5.053287331112315,0.6009765863418579
15,1.25,0.14307614415884018,5.556878295892384,0.23347175121307373,3.7910622016865343,0.5246554613113403
128,0.8,0.231220081448555,5.89015512624433,0.5167421475052834,6.50281508090903,1.4553563594818115
128,1.25,0.15013039112091064,4.175160639792153,0.2828177586197853,4.011741609998887,2.278273344039917
