status,eval_sample_id,source_sample_id,mesh_size_mm,suite_label,cache_file,D_outer,t_over_D,R_over_D,D_outer_design_norm,t_over_D_design_norm,R_over_D_design_norm,sample_id,mean_free_mm,final_free_mean_mm,p95_free_mm,p99_free_mm,max_free_mm,nan_count,num_steps
OK,183,4,0.8,fine,external_sample_0183.pt,6.800000190734863,0.13676470518112183,3.1470587253570557,-0.8857142584664481,0.9352941036224363,0.1674207540658803,183,0.20706933736801147,0.3566901683807373,0.4788520932197571,0.5736891627311707,0.9166772365570068,0,180
OK,4,4,1.0,baseline,sample_0004.pt,6.800000190734863,0.13675999641418457,3.147059917449951,-0.8857142584664481,0.9351999282836911,0.16742148766150833,4,0.04114117845892906,0.05894936993718147,0.09029090404510498,0.11421209573745728,0.3656917214393616,0,180
OK,184,4,1.25,coarse,external_sample_0184.pt,6.800000190734863,0.13676470518112183,3.1470587253570557,-0.8857142584664481,0.9352941036224363,0.1674207540658803,184,0.08807779103517532,0.1566256731748581,0.22814272344112396,0.3051719665527344,0.8138434290885925,0,180
OK,185,3,0.8,fine,external_sample_0185.pt,13.399999618530273,0.07537312805652618,3.544776201248169,0.057142802647181856,-0.29253743886947636,0.41216996999887323,185,0.15458858013153076,0.3133918046951294,0.4866890013217926,0.6246169209480286,1.571384072303772,0,180
OK,3,3,1.0,baseline,sample_0003.pt,13.399999618530273,0.07536999881267548,3.5447800159454346,0.057142802647181856,-0.2926000237464905,0.4121723175048828,3,0.03611934185028076,0.07210475206375122,0.089823417365551,0.1273254007101059,0.6957798004150391,0,180
OK,186,3,1.25,coarse,external_sample_0186.pt,13.399999618530273,0.07537312805652618,3.544776201248169,0.057142802647181856,-0.29253743886947636,0.41216996999887323,186,0.13296975195407867,0.2565513551235199,0.36740681529045105,0.46518582105636597,3.0044968128204346,0,180
OK,174,139,0.8,fine,external_sample_0174.pt,12.899999618530273,0.0643400028347969,3.418600082397461,-0.01428576878138954,-0.5131999433040619,0.33452312762920666,174,0.14110440015792847,0.2998480498790741,0.44235533475875854,0.6129594445228577,1.8837369680404663,0,180
OK,139,139,1.0,baseline,sample_0139.pt,12.899999618530273,0.0643400028347969,3.418600082397461,-0.01428576878138954,-0.5131999433040619,0.33452312762920666,139,0.025315653532743454,0.05813175067305565,0.07189909368753433,0.10569493472576141,1.0150184631347656,0,180
OK,175,139,1.25,coarse,external_sample_0175.pt,12.899999618530273,0.0643400028347969,3.418600082397461,-0.01428576878138954,-0.5131999433040619,0.33452312762920666,175,0.1506863385438919,0.30807390809059143,0.39150476455688477,0.504830002784729,3.272486925125122,0,180
OK,187,15,0.8,fine,external_sample_0187.pt,15.699999809265137,0.05987260863184929,4.178343772888184,0.38571425846644813,-0.6025478273630143,0.8020577063927283,187,0.1960718333721161,0.42270639538764954,0.5939343571662903,1.0543458461761475,2.3410284519195557,0,180
OK,15,15,1.0,baseline,sample_0015.pt,15.699999809265137,0.059870000928640366,4.178339958190918,0.38571425846644813,-0.6025999814271927,0.8020553588867188,15,0.03139784187078476,0.08364978432655334,0.07902465760707855,0.11483816057443619,1.7400518655776978,0,180
OK,188,15,1.25,coarse,external_sample_0188.pt,15.699999809265137,0.05987260863184929,4.178343772888184,0.38571425846644813,-0.6025478273630143,0.8020577063927283,188,0.17447398602962494,0.3171215355396271,0.4434923529624939,0.5768063068389893,2.264707326889038,0,180
OK,178,128,0.8,fine,external_sample_0178.pt,19.899999618530273,0.05226000025868416,4.326630115509033,0.9857142312186105,-0.7547999948263169,0.8933108403132513,178,0.27850285172462463,0.6106472015380859,0.8351390361785889,1.532962679862976,4.44387149810791,0,180
OK,128,128,1.0,baseline,sample_0128.pt,19.899999618530273,0.05226000025868416,4.326630115509033,0.9857142312186105,-0.7547999948263169,0.8933108403132513,128,0.04728277027606964,0.09390505403280258,0.11618049442768097,0.17814692854881287,2.9885151386260986,0,180
OK,179,128,1.25,coarse,external_sample_0179.pt,19.899999618530273,0.05226000025868416,4.326630115509033,0.9857142312186105,-0.7547999948263169,0.8933108403132513,179,0.19741316139698029,0.3767228126525879,0.4968065619468689,0.6699259281158447,5.266788482666016,0,180
