epoch,global_step,train_loss,step1_loss,last_step_loss,lr,epoch_time_sec,peak_reserved_gib,val_mean_free_mm,val_final_free_mean_mm,val_max_free_mm,best_val_metric,trainable_parameters,data_fingerprint
1,3580,0.520384816761654,0.33216974741152316,0.8968149055183121,2e-05,1102.521868025884,17.25,,,,inf,1438605,c23aa5e08970ee6400371e22
2,7160,0.32283143218120236,0.22833179106497511,0.511830684467864,2e-05,947.766743330285,17.25,,,,inf,1438605,c23aa5e08970ee6400371e22
3,10740,0.3042524197375579,0.21721162160561946,0.4783339866937799,2e-05,1039.7248297231272,17.25,,,,inf,1438605,c23aa5e08970ee6400371e22
4,14320,0.2946506962193145,0.21188148787569036,0.46018909010841047,2e-05,973.030340381898,17.2890625,,,,inf,1438605,c23aa5e08970ee6400371e22
5,17900,0.2875877914636125,0.20744563482113848,0.4478720734352454,2e-05,971.33549896162,17.2890625,0.1595298618078232,0.39783873955408733,2.726675271987915,0.1595298618078232,1438605,c23aa5e08970ee6400371e22
6,21480,0.283914029115145,0.20491622376298615,0.4419096157585619,2e-05,1014.0960748260841,17.2890625,,,,0.1595298618078232,1438605,c23aa5e08970ee6400371e22
7,25060,0.2785620283492185,0.2018117437373285,0.4320625719028999,2e-05,970.5383795192465,17.2890625,,,,0.1595298618078232,1438605,c23aa5e08970ee6400371e22
8,28640,0.27497706579912046,0.19915977839722596,0.42661161976242074,2e-05,939.0917678652331,17.2890625,,,,0.1595298618078232,1438605,c23aa5e08970ee6400371e22
9,32220,0.27146738517994334,0.1979024912591623,0.41859715249527285,2e-05,953.339407466352,17.2890625,,,,0.1595298618078232,1438605,c23aa5e08970ee6400371e22
10,35800,0.2703645016705388,0.19758556600323196,0.41592234429323205,2e-05,989.6568260109052,17.2890625,0.06531442080934842,0.10068599556883176,1.2700371742248535,0.06531442080934842,1438605,c23aa5e08970ee6400371e22
11,39380,0.26874055192518365,0.1962675085069492,0.4136866186731157,2e-05,944.9982240749523,17.2890625,,,,0.06531442080934842,1438605,c23aa5e08970ee6400371e22
12,42960,0.26536294137623273,0.1942343041750826,0.4076201861667676,2e-05,1015.4137930059806,17.2890625,,,,0.06531442080934842,1438605,c23aa5e08970ee6400371e22
13,46540,0.264606132767197,0.19410719496696177,0.4056039890646414,2e-05,903.1582658793777,17.2890625,,,,0.06531442080934842,1438605,c23aa5e08970ee6400371e22
