epoch,global_step,train_loss,step1_loss,last_step_loss,lr,epoch_time_sec,peak_reserved_gib,val_mean_free_mm,val_final_free_mean_mm,val_max_free_mm,best_val_metric,trainable_parameters,data_fingerprint
1,5370,0.20020697918283498,0.12954400094989965,0.3415329183754468,2e-05,3608.146949596703,27.671875,,,,inf,1416883,dded84cde3e888c8441d8bec
2,10740,0.13379424215759214,0.09179375640943029,0.2177952024373755,2e-05,3616.443955935538,27.8671875,,,,inf,1416883,dded84cde3e888c8441d8bec
3,16110,0.12474388156083605,0.08613619615713627,0.20195924212216976,2e-05,3450.2677598521113,27.8671875,,,,inf,1416883,dded84cde3e888c8441d8bec
4,21480,0.11893758165072979,0.0826866730857507,0.19143938812781888,2e-05,3339.3412674702704,28.21875,,,,inf,1416883,dded84cde3e888c8441d8bec
5,26850,0.11485492431912467,0.08028908606306034,0.18398659063973144,2e-05,3450.056126996875,28.21875,1.231053920586904,4.459013199806213,75.41828918457031,1.231053920586904,1416883,dded84cde3e888c8441d8bec
6,32220,0.11263137069527317,0.07885355083278364,0.18018700059388854,2e-05,3445.1279987953603,28.21875,,,,1.231053920586904,1416883,dded84cde3e888c8441d8bec
7,37590,0.1103682770890234,0.07762174248633372,0.17586133574981944,2e-05,3555.5797261483967,28.21875,,,,1.231053920586904,1416883,dded84cde3e888c8441d8bec
8,42960,0.10775004607981706,0.07596813295865987,0.1713138629722468,2e-05,3341.6548553854227,28.21875,,,,1.231053920586904,1416883,dded84cde3e888c8441d8bec
9,48330,0.10493179961149728,0.07469584881904703,0.16540369301599933,2e-05,3596.8192677758634,28.21875,,,,1.231053920586904,1416883,dded84cde3e888c8441d8bec
10,53700,0.1043154378619966,0.07428206806816855,0.16438216814054593,2e-05,3480.856627572328,28.21875,1.3127689361572266,3.660933025677999,70.10955810546875,1.231053920586904,1416883,dded84cde3e888c8441d8bec
11,59070,0.10285674420138127,0.07324060543405163,0.16208901306734813,2e-05,3454.337421953678,28.21875,,,,1.231053920586904,1416883,dded84cde3e888c8441d8bec
12,64440,0.10084680505686576,0.07213417593592664,0.15827205505510844,2e-05,3544.0604812689126,28.21875,,,,1.231053920586904,1416883,dded84cde3e888c8441d8bec
13,69810,0.10025813323814159,0.0718022891064478,0.15716981296884971,2e-05,3530.543345682323,28.21875,,,,1.231053920586904,1416883,dded84cde3e888c8441d8bec
14,75180,0.09917583686125758,0.07122782110516242,0.1550718596269935,2e-05,3519.810051996261,28.21875,,,,1.231053920586904,1416883,dded84cde3e888c8441d8bec
15,80550,0.0977354387752495,0.07036723011822373,0.15247184781631232,2e-05,3599.642938133329,28.21875,2.09685533841451,4.1201083898544315,23.783138275146484,1.231053920586904,1416883,dded84cde3e888c8441d8bec
16,85920,0.09642582363778555,0.06961366134638043,0.15005014022624508,2e-05,3497.1293373331428,28.21875,,,,1.231053920586904,1416883,dded84cde3e888c8441d8bec
