source_sample_id,mesh_size_mm,delta_mean_free_mm,ratio_mean_free,delta_final_free_mm,ratio_final_free,delta_max_free_mm
4,0.8,0.02567834034562111,1.9356802837809808,0.03140729293227196,1.7339949374141634,0.038224101066589355
4,1.25,0.002089262008666992,1.076129580138372,0.01256437599658966,1.293632067977077,0.04576106369495392
3,0.8,0.006669117137789726,1.218787230731129,-0.010427117347717285,0.8163473367815406,-0.0019167661666870117
3,1.25,0.0015263017266988754,1.0500718942470486,-0.012688890099525452,0.7765107668444573,0.005277886986732483
139,0.8,0.003891531378030777,1.1337138484602411,0.01211417093873024,1.277508815643916,-0.003806203603744507
139,1.25,-0.002529418095946312,0.9130886545375603,-0.002209797501564026,0.9493784353404382,0.00566430389881134
15,0.8,0.0029664188623428345,1.0973931089799844,0.022978797554969788,1.408517865359902,-0.01623682677745819
15,1.25,0.010294884443283081,1.3380004136466204,0.013038933277130127,1.2318066111249308,-0.01301005482673645
128,0.8,0.008295807987451553,1.240686523628121,0.05485839396715164,1.9556464236115618,-0.0077647864818573
128,1.25,0.012885458767414093,1.3738461980766168,0.027497105300426483,1.4790061910262566,-0.005312174558639526
