mean_free_mm,final_free_mm,p95_free_mm,p99_free_mm,max_free_mm,max_pred_frame,max_free_local_index,rel_l2_pct,case,eval_sample_id,source_sample_id,mesh_size_mm,method
0.0028023303020745516,0.0040742638520896435,0.009666865691542625,0.02004915662109852,0.06426882743835449,7,3151,0.014405425474714502,trajectory_bend_Base_TC4_sample_0183.npz,183,4,0.8,roundtrip
0.022648299112915993,0.040525078773498535,0.05976322665810585,0.08505754172801971,0.15586987137794495,10,3232,0.07969500804675023,trajectory_bend_Base_TC4_sample_0183.npz,183,4,0.8,pod_oracle
0.053121838718652725,0.07419681549072266,0.0839746966958046,0.10808474570512772,0.17178815603256226,136,1504,0.15741810897375522,trajectory_bend_Base_TC4_sample_0183.npz,183,4,0.8,rom
0.0031748819164931774,0.004527925048023462,0.011940798722207546,0.01854652538895607,0.07182091474533081,7,1905,0.014963540375235654,trajectory_bend_Base_TC4_sample_0004.npz,4,4,1.0,roundtrip
0.01887858845293522,0.040887802839279175,0.0524962916970253,0.07607313990592957,0.1316397786140442,13,1863,0.06849737957075012,trajectory_bend_Base_TC4_sample_0004.npz,4,4,1.0,pod_oracle
0.027443498373031616,0.0427895225584507,0.058493830263614655,0.08084242045879364,0.1335640549659729,160,718,0.08566194956975313,trajectory_bend_Base_TC4_sample_0004.npz,4,4,1.0,rom
0.004066059831529856,0.005939909722656012,0.013320213183760643,0.02784518525004387,0.06922776252031326,7,1253,0.018966743789655377,trajectory_bend_Base_TC4_sample_0184.npz,184,4,1.25,roundtrip
0.025641582906246185,0.04797620326280594,0.0649532750248909,0.089472196996212,0.16629177331924438,175,1286,0.08816354115102583,trajectory_bend_Base_TC4_sample_0184.npz,184,4,1.25,pod_oracle
0.02953276038169861,0.05535389855504036,0.07112691551446915,0.09971427172422409,0.17932511866092682,180,1286,0.09641395790358033,trajectory_bend_Base_TC4_sample_0184.npz,184,4,1.25,rom
0.003609484527260065,0.005139417015016079,0.012543108314275742,0.034877173602581024,0.13893884420394897,10,12998,0.010224492679121748,trajectory_bend_Base_TC4_sample_0185.npz,185,3,0.8,roundtrip
0.018423251807689667,0.02834894508123398,0.05465313047170639,0.10101260244846344,0.21407689154148102,76,9340,0.032969689101917936,trajectory_bend_Base_TC4_sample_0185.npz,185,3,0.8,pod_oracle
