mean_free_mm,final_free_mm,p95_free_mm,p99_free_mm,max_free_mm,max_pred_frame,max_free_local_index,rel_l2_pct,case,sample_id,method,ood_label
0.004024174530059099,0.006194715853780508,0.01668008603155613,0.02673875354230404,0.0639725774526596,9,1151,0.026171389205036505,trajectory_bend_Base_TC4_sample_0156.npz,156,roundtrip,D_low
0.02608366310596466,0.04083665460348129,0.0805102288722992,0.11469841748476028,0.16267798840999603,144,1177,0.13987462391049518,trajectory_bend_Base_TC4_sample_0156.npz,156,pod_oracle,D_low
0.048973988741636276,0.0562514029443264,0.11377318948507309,0.15378069877624512,0.24311991035938263,180,1185,0.21926078970320723,trajectory_bend_Base_TC4_sample_0156.npz,156,rom,D_low
0.0026222551241517067,0.004165195859968662,0.010428831912577152,0.015177639201283455,0.05137879401445389,7,1669,0.011838231704670578,trajectory_bend_Base_TC4_sample_0157.npz,157,roundtrip,D_low
0.017331259325146675,0.03673582524061203,0.04818364605307579,0.06938707828521729,0.1704682558774948,180,589,0.058929633337299316,trajectory_bend_Base_TC4_sample_0157.npz,157,pod_oracle,D_low
0.03778493031859398,0.06087818369269371,0.07337882369756699,0.0979827269911766,0.1975497007369995,166,1696,0.10879354413412874,trajectory_bend_Base_TC4_sample_0157.npz,157,rom,D_low
0.005117913242429495,0.008625900372862816,0.019818061962723732,0.04344146326184273,0.19284546375274658,11,19856,0.008400412368412572,trajectory_bend_Base_TC4_sample_0158.npz,158,roundtrip,D_high
0.02740556374192238,0.035051167011260986,0.0837823823094368,0.15842179954051971,0.3494293987751007,159,7087,0.03115928550166706,trajectory_bend_Base_TC4_sample_0158.npz,158,pod_oracle,D_high
0.03589852154254913,0.07296042889356613,0.10944093018770218,0.17515873908996582,0.3629758656024933,62,15438,0.038556786149589246,trajectory_bend_Base_TC4_sample_0158.npz,158,rom,D_high
0.004812575876712799,0.007786455098539591,0.017401566728949547,0.048651278018951416,0.1843280792236328,5,23313,0.007581799262166187,trajectory_bend_Base_TC4_sample_0159.npz,159,roundtrip,D_high
0.028655322268605232,0.060379210859537125,0.08842848986387253,0.15401679277420044,0.3449094891548157,180,7575,0.027946743933639353,trajectory_bend_Base_TC4_sample_0159.npz,159,pod_oracle,D_high
0.046170685440301895,0.10778006166219711,0.12485284358263016,0.19312740862369537,0.3773528039455414,80,15723,0.03948710206453533,trajectory_bend_Base_TC4_sample_0159.npz,159,rom,D_high
0.002748197643086314,0.0045186178758740425,0.011906561441719532,0.018581092357635498,0.0677952989935875,108,1247,0.013425926110622119,trajectory_bend_Base_TC4_sample_0162.npz,162,roundtrip,tD_high
0.020682351663708687,0.032291777431964874,0.05828824266791344,0.09131419658660889,0.17130932211875916,13,2062,0.07277612234076036,trajectory_bend_Base_TC4_sample_0162.npz,162,pod_oracle,tD_high
0.04759451374411583,0.07020826637744904,0.08912654221057892,0.11861816793680191,0.18874463438987732,13,2062,0.13689515924588014,trajectory_bend_Base_TC4_sample_0162.npz,162,rom,tD_high
0.0028872843831777573,0.0042884438298642635,0.010558895766735077,0.01692257821559906,0.07560660690069199,6,3772,0.00883225626920825,trajectory_bend_Base_TC4_sample_0163.npz,163,roundtrip,tD_high
0.024820556864142418,0.04550950229167938,0.06196620687842369,0.08049139380455017,0.17047157883644104,180,1288,0.052286926251571914,trajectory_bend_Base_TC4_sample_0163.npz,163,pod_oracle,tD_high
0.11457797139883041,0.12984490394592285,0.19396591186523438,0.23062533140182495,0.33306044340133667,119,1934,0.2117824534826714,trajectory_bend_Base_TC4_sample_0163.npz,163,rom,tD_high
0.003047181526198983,0.005420336965471506,0.012088609859347343,0.02582787163555622,0.09736998379230499,4,8559,0.006532864027941213,trajectory_bend_Base_TC4_sample_0166.npz,166,roundtrip,RD_high
0.02385861985385418,0.058002740144729614,0.07273188978433609,0.12111412733793259,0.29596781730651855,180,2613,0.03502912176480118,trajectory_bend_Base_TC4_sample_0166.npz,166,pod_oracle,RD_high
0.04239736497402191,0.06617560237646103,0.11798952519893646,0.18221764266490936,0.3712700605392456,164,3960,0.05624039766550424,trajectory_bend_Base_TC4_sample_0166.npz,166,rom,RD_high
0.004317409358918667,0.00698991259559989,0.01552838645875454,0.04057728871703148,0.14384691417217255,8,19052,0.006575413647227746,trajectory_bend_Base_TC4_sample_0167.npz,167,roundtrip,RD_high
0.03287370875477791,0.08140331506729126,0.10326582193374634,0.17698262631893158,0.5958628058433533,180,5856,0.032877991982217435,trajectory_bend_Base_TC4_sample_0167.npz,167,pod_oracle,RD_high
0.04810776561498642,0.08714352548122406,0.12700079381465912,0.19747576117515564,0.6002085208892822,180,5856,0.041835338895468505,trajectory_bend_Base_TC4_sample_0167.npz,167,rom,RD_high
0.002396288327872753,0.0037082091439515352,0.008532634004950523,0.013855956494808197,0.05103020742535591,7,1669,0.01054133449095739,trajectory_bend_Base_TC4_sample_0168.npz,168,roundtrip,D_low+tD_high
0.017238058149814606,0.04020623117685318,0.048285726457834244,0.06872203201055527,0.18188399076461792,180,589,0.058979239928247544,trajectory_bend_Base_TC4_sample_0168.npz,168,pod_oracle,D_low+tD_high
0.071125827729702,0.09824764728546143,0.1339360773563385,0.16166046261787415,0.27423331141471863,180,589,0.20062737302803474,trajectory_bend_Base_TC4_sample_0168.npz,168,rom,D_low+tD_high
0.0023168546613305807,0.003926466219127178,0.009574320167303085,0.013616299256682396,0.04854416474699974,124,913,0.008976534080294042,trajectory_bend_Base_TC4_sample_0169.npz,169,roundtrip,D_low+RD_high
0.017128655686974525,0.05070405453443527,0.043080925941467285,0.06609908491373062,0.27609115839004517,180,660,0.04990510579949921,trajectory_bend_Base_TC4_sample_0169.npz,169,pod_oracle,D_low+RD_high
