source_sample_id,eval_sample_id,mesh_size_mm,num_nodes,num_tube_nodes,tube_node_fraction,num_mesh_edges,mesh_edges_per_node,mesh_degree_all_mean,mesh_degree_all_p05,mesh_degree_all_p50,mesh_degree_all_p95,mesh_degree_all_max,mesh_degree_tube_mean,mesh_degree_tube_p05,mesh_degree_tube_p50,mesh_degree_tube_p95,mesh_degree_tube_max,mesh_len_mm_mean,mesh_len_mm_p05,mesh_len_mm_p50,mesh_len_mm_p95,mesh_len_mm_max,mesh_zlen_abs_p95,mesh_zlen_abs_max,mesh_z_any_abs_gt3_frac,mesh_raw_outside_train_range_frac,mesh_len_outside_train_range_frac
4,4,1.0,9317,2583,0.2772351615326822,20538,2.2043576258452293,2.204357624053955,0.0,0.0,8.0,8.0,7.95121955871582,8.0,8.0,8.0,8.0,1.2268356084823608,1.013487458229065,1.0199203491210938,1.4378435611724854,1.437843680381775,1.1189700365066528,1.1189706325531006,0.0,0.0,0.0
4,183,0.8,14443,4266,0.29536799833829536,33966,2.351727480440352,2.3517274856567383,0.0,0.0,8.0,8.0,7.962025165557861,8.0,8.0,8.0,8.0,0.9545474648475647,0.7894317507743835,0.792549192905426,1.1186317205429077,1.1186317205429077,2.0115277767181396,2.0115280151367188,0.0,0.5007948875427246,0.5007948875427246
4,184,1.25,6153,1700,0.2762879895985698,13498,2.1937266374126443,2.1937267780303955,0.0,0.0,8.0,8.0,7.939999580383301,8.0,8.0,8.0,8.0,1.5120666027069092,1.2494966983795166,1.2568740844726562,1.7722795009613037,1.7722795009613037,2.7336089611053467,2.7336089611053467,0.0,0.9407320022583008,0.4987405836582184
3,3,1.0,34023,10206,0.29997354730623405,81396,2.392381624195397,2.3923816680908203,0.0,0.0,8.0,8.0,7.975308895111084,8.0,8.0,8.0,8.0,1.21028470993042,1.0013831853866577,1.004241943359375,1.4181926250457764,1.4181928634643555,1.0240963697433472,1.0240974426269531,0.0,0.0,0.0
3,185,0.8,53157,16271,0.3060932708768365,129850,2.4427638881050475,2.4427638053894043,0.0,0.0,8.0,8.0,7.980456352233887,8.0,8.0,8.0,8.0,0.9583237767219543,0.7938242554664612,0.7942085266113281,1.1229063272476196,1.1229090690612793,1.9903210401535034,1.990321397781372,0.0,0.5004081726074219,0.5004081726074219
3,186,1.25,22116,6698,0.3028576596129499,53380,2.413637185747875,2.413637161254883,0.0,0.0,8.0,8.0,7.969542980194092,8.0,8.0,8.0,8.0,1.4942651987075806,1.2363959550857544,1.2399368286132812,1.751028299331665,1.7510337829589844,2.631009340286255,2.631035804748535,0.0,0.9409516453742981,0.4993630647659302
139,139,1.0,31608,9553,0.3022336117438623,76178,2.4100860541635027,2.410085916519165,0.0,0.0,8.0,8.0,7.974248886108398,8.0,8.0,8.0,8.0,1.1911243200302124,0.9863958358764648,0.9874855875968933,1.3957511186599731,1.3957512378692627,1.0605956315994263,1.0606279373168945,0.0,0.0,0.0
139,174,0.8,48703,14739,0.30263022811736445,117606,2.414758844424368,2.4147589206695557,0.0,0.0,8.0,8.0,7.979238510131836,8.0,8.0,8.0,8.0,0.9587429761886597,0.7941356301307678,0.7946014404296875,1.1234068870544434,1.123407006263733,1.988817811012268,1.9888194799423218,0.0,0.5004336833953857,0.5004336833953857
139,175,1.25,20006,5824,0.29111266620014,46400,2.3193042087373787,2.3193042278289795,0.0,0.0,8.0,8.0,7.967033386230469,8.0,8.0,8.0,8.0,1.5258768796920776,1.2643280029296875,1.2644211053848267,1.7881064414978027,1.7881064414978027,2.810020685195923,2.810020685195923,0.0,0.9372414350509644,0.49931037425994873
15,15,1.0,51775,15435,0.29811685176243363,123186,2.3792563978754226,2.379256248474121,0.0,0.0,8.0,8.0,7.980952262878418,8.0,8.0,8.0,8.0,1.2143255472183228,1.0059022903442383,1.00634765625,1.4228755235671997,1.422876000404358,1.0467051267623901,1.0467073917388916,0.0,0.0,0.0
15,187,0.8,80579,24676,0.3062336340733938,197036,2.4452524851388078,2.4452526569366455,0.0,0.0,8.0,8.0,7.984924793243408,8.0,8.0,8.0,8.0,0.9602296352386475,0.7951918840408325,0.79595947265625,1.1251035928726196,1.1251144409179688,1.9837182760238647,1.9837197065353394,0.0,0.5003146529197693,0.5003146529197693
15,188,1.25,33092,9789,0.2958116765381361,78078,2.359422216849994,2.359422206878662,0.0,0.0,8.0,8.0,7.976095199584961,8.0,8.0,8.0,8.0,1.5250861644744873,1.2633249759674072,1.26397705078125,1.7870618104934692,1.787072777748108,2.8049771785736084,2.805030107498169,0.0,0.9485642910003662,0.4995005130767822
128,128,1.0,83929,26082,0.31076266844594835,208278,2.481597540778515,2.481597423553467,0.0,0.0,8.0,8.0,7.985507488250732,8.0,8.0,8.0,8.0,1.1974241733551025,0.9919329881668091,0.99224853515625,1.4030283689498901,1.4030284881591797,1.033862590789795,1.0338634252548218,0.0,0.0,0.0
128,178,0.8,130346,39936,0.3063845457474721,319020,2.4474859220842986,2.44748592376709,0.0,0.0,8.0,8.0,7.98828125,8.0,8.0,8.0,8.0,0.9675546884536743,0.8012921214103699,0.8019447326660156,1.1336572170257568,1.1336599588394165,1.9542665481567383,1.954267144203186,0.0,0.5002444982528687,0.5002444982528687
128,179,1.25,53782,16450,0.30586441560373356,131300,2.4413372503811686,2.4413373470306396,0.0,0.0,8.0,8.0,7.981762886047363,8.0,8.0,8.0,8.0,1.508019208908081,1.249359130859375,1.249531626701355,1.7669931650161743,1.767004132270813,2.7080869674682617,2.7081398963928223,0.0,0.9398629069328308,0.4996192157268524
