source_sample_id,eval_sample_id,mesh_size_mm,frame,world_radius_mm,num_world_edges,world_edges_per_node,world_degree_all_mean,world_degree_all_p05,world_degree_all_p50,world_degree_all_p95,world_degree_all_max,world_degree_tube_mean,world_degree_tube_p05,world_degree_tube_p50,world_degree_tube_p95,world_degree_tube_max,world_len_mm_mean,world_len_mm_p05,world_len_mm_p50,world_len_mm_p95,world_len_mm_max,world_zlen_abs_p95,world_zlen_abs_max,world_z_any_abs_gt3_frac,world_raw_outside_train_range_frac,world_len_outside_train_range_frac
4,4,1.0,0,2.0,83338,8.944724696790813,8.944725036621094,0.0,11.0,23.0,33.0,16.812232971191406,7.0,17.0,25.0,33.0,1.4479538202285767,0.5898479223251343,1.5238856077194214,1.982379674911499,1.9999891519546509,3.784546136856079,5.772070407867432,0.26734504103660583,0.8503444194793701,0.7013367414474487
4,4,1.0,45,2.0,81648,8.763335837716003,8.763336181640625,0.0,11.0,23.0,28.0,16.56020164489746,7.0,17.0,25.0,28.0,1.446811318397522,0.5807352066040039,1.5266321897506714,1.9810928106307983,1.9999991655349731,3.78452467918396,5.752959251403809,0.2837056815624237,0.8559916019439697,0.7050509452819824
4,4,1.0,90,2.0,76304,8.18976065257057,8.189760208129883,0.0,10.0,22.0,31.0,15.578783988952637,2.0,16.0,24.0,31.0,1.4350188970565796,0.5603331923484802,1.5190012454986572,1.9797532558441162,1.999999761581421,3.7834322452545166,5.755059242248535,0.27736422419548035,0.8586181998252869,0.712649405002594
4,4,1.0,135,2.0,71182,7.640012879682301,7.640012741088867,0.0,9.0,21.0,30.0,14.644598960876465,2.0,16.0,24.0,30.0,1.4259566068649292,0.5468840599060059,1.5128252506256104,1.9786202907562256,1.999990463256836,3.780064105987549,5.759463787078857,0.2779073417186737,0.8597679138183594,0.7171756625175476
4,4,1.0,179,2.0,66892,7.179564237415477,7.179563999176025,0.0,6.0,20.0,29.0,13.869144439697266,2.0,16.0,24.0,29.0,1.4244617223739624,0.5396443605422974,1.5191280841827393,1.9782862663269043,1.9999971389770508,3.7746169567108154,5.668532371520996,0.2899300456047058,0.8660826683044434,0.7288464903831482
4,183,0.8,0,2.0,252276,17.467008239285466,17.467008590698242,0.0,19.0,44.0,56.0,35.517581939697266,24.0,36.0,47.0,56.0,1.4883317947387695,0.7043635845184326,1.5850982666015625,1.9448050260543823,1.9999839067459106,3.6922621726989746,5.788270950317383,0.1885950267314911,0.8702928423881531,0.7645039558410645
4,183,0.8,45,2.0,244220,16.90922938447691,16.909229278564453,0.0,19.0,44.0,51.0,34.574073791503906,23.0,33.0,46.0,51.0,1.4809112548828125,0.6752160787582397,1.5850982666015625,1.9419831037521362,1.9999953508377075,3.6890110969543457,5.751498222351074,0.19011548161506653,0.8815658092498779,0.768225371837616
4,183,0.8,90,2.0,230326,15.947240877933947,15.947240829467773,0.0,18.0,43.0,54.0,32.94491195678711,12.0,33.0,46.0,54.0,1.4745441675186157,0.6565570831298828,1.5850982666015625,1.9428638219833374,1.9999959468841553,3.695634365081787,5.765547275543213,0.18817675113677979,0.8812118172645569,0.7746497988700867
4,183,0.8,135,2.0,215922,14.94994114796095,14.94994068145752,0.0,18.0,43.0,52.0,31.25667953491211,12.0,33.0,45.0,52.0,1.468143343925476,0.6391034722328186,1.5850982666015625,1.9418901205062866,1.9999712705612183,3.700666904449463,5.738494873046875,0.18741953372955322,0.8917942643165588,0.7789757251739502
4,183,0.8,179,2.0,202856,14.045281451222046,14.045281410217285,0.0,15.0,38.0,51.0,29.725269317626953,12.0,32.0,45.0,51.0,1.4660378694534302,0.6064972281455994,1.5849874019622803,1.9503728151321411,1.9999648332595825,3.7149176597595215,5.717881202697754,0.20776315033435822,0.8839768767356873,0.7758804559707642
4,184,1.25,0,2.0,34582,5.620347797822201,5.62034797668457,0.0,7.0,14.0,21.0,10.171175956726074,4.0,11.0,16.0,21.0,1.4175488948822021,0.5738430619239807,1.4674333333969116,1.9573222398757935,1.9998255968093872,3.748560905456543,5.735117435455322,0.24590829014778137,0.8314152359962463,0.6642762422561646
4,184,1.25,45,2.0,34396,5.590118641313181,5.590118885040283,0.0,7.0,14.0,21.0,10.116470336914062,4.0,10.0,15.0,21.0,1.4216241836547852,0.555320143699646,1.504514455795288,1.9557299613952637,1.999977469444275,3.7550790309906006,5.67881441116333,0.24613326787948608,0.8246307373046875,0.6921153664588928
4,184,1.25,90,2.0,32298,5.249146757679181,5.249146938323975,0.0,7.0,14.0,21.0,9.499411582946777,0.0,10.0,15.0,21.0,1.4108322858810425,0.5109157562255859,1.4945536851882935,1.9558613300323486,1.9999523162841797,3.7741432189941406,5.699480056762695,0.2431110292673111,0.8840175867080688,0.6943464279174805
4,184,1.25,135,2.0,29310,4.763529985372989,4.763530254364014,0.0,6.0,13.0,18.0,8.620588302612305,0.0,9.0,15.0,18.0,1.3858070373535156,0.4848308265209198,1.4493696689605713,1.9513801336288452,1.9998395442962646,3.8007919788360596,5.720176696777344,0.23091095685958862,0.827635645866394,0.6675537824630737
4,184,1.25,179,2.0,27304,4.437510157646677,4.4375104904174805,0.0,3.0,12.0,18.0,8.030588150024414,0.0,9.0,15.0,18.0,1.3776466846466064,0.4565922021865845,1.4470868110656738,1.9487131834030151,1.9998022317886353,3.80861234664917,5.735935688018799,0.24135658144950867,0.89085853099823,0.6757984161376953
3,3,1.0,0,2.0,308870,9.078270581665343,9.07827091217041,0.0,10.0,22.0,30.0,16.131786346435547,9.0,16.0,23.0,30.0,1.4723583459854126,0.6170414686203003,1.5097544193267822,1.9965384006500244,1.9999334812164307,3.8193509578704834,5.808080196380615,0.3032732307910919,0.7485026121139526,0.6114935278892517
3,3,1.0,45,2.0,293878,8.637627487288011,8.637627601623535,0.0,10.0,22.0,28.0,15.42573070526123,9.0,15.0,23.0,28.0,1.4616937637329102,0.549860417842865,1.478750228881836,1.9964972734451294,1.9999957084655762,3.8239269256591797,5.805451393127441,0.3164442479610443,0.7706326842308044,0.6092119812965393
3,3,1.0,90,2.0,270510,7.950797989595274,7.950798034667969,0.0,10.0,21.0,28.0,14.279541969299316,2.0,14.0,23.0,28.0,1.449815034866333,0.619339644908905,1.469827651977539,1.9965506792068481,1.9999990463256836,3.825962781906128,5.806213855743408,0.31252819299697876,0.7669069766998291,0.6210861206054688
3,3,1.0,135,2.0,242570,7.1295888075713485,7.129588603973389,0.0,9.0,20.0,26.0,12.908093452453613,2.0,13.0,22.0,26.0,1.4313606023788452,0.6055509448051453,1.4656790494918823,1.9946008920669556,1.9999979734420776,3.8214712142944336,5.804864883422852,0.284808486700058,0.7946736812591553,0.6512346863746643
3,3,1.0,179,2.0,217932,6.405431619786615,6.405431747436523,0.0,2.0,17.0,26.0,11.703213691711426,2.0,13.0,22.0,26.0,1.4279667139053345,0.5565225481987,1.4739084243774414,1.9892103672027588,1.9999886751174927,3.8205959796905518,5.7949604988098145,0.2932290732860565,0.7932015657424927,0.6624818444252014
3,185,0.8,0,2.0,938772,17.660364580393928,17.660364151000977,0.0,16.0,45.0,52.0,34.82195281982422,23.0,33.0,46.0,52.0,1.5091824531555176,0.6844953894615173,1.588409423828125,1.9480985403060913,1.9999996423721313,3.6862998008728027,5.813254356384277,0.19518689811229706,0.9087850451469421,0.7631416320800781
3,185,0.8,45,2.0,900654,16.94328122354535,16.943281173706055,0.0,16.0,44.0,51.0,33.65060806274414,21.0,33.0,46.0,51.0,1.502024531364441,0.6739965677261353,1.5893622636795044,1.9453378915786743,1.9999970197677612,3.686464309692383,5.801429748535156,0.19581104815006256,0.8975899815559387,0.7714305520057678
