source_sample_id,mesh_size_mm,num_nodes_ratio_vs_1mm,num_nodes_delta_vs_1mm,num_mesh_edges_ratio_vs_1mm,num_mesh_edges_delta_vs_1mm,mesh_degree_tube_mean_ratio_vs_1mm,mesh_degree_tube_mean_delta_vs_1mm,mesh_len_mm_mean_ratio_vs_1mm,mesh_len_mm_mean_delta_vs_1mm,mesh_zlen_abs_p95_ratio_vs_1mm,mesh_zlen_abs_p95_delta_vs_1mm,mesh_raw_outside_train_range_frac_ratio_vs_1mm,mesh_raw_outside_train_range_frac_delta_vs_1mm,num_world_edges_mean_ratio_vs_1mm,num_world_edges_mean_delta_vs_1mm,world_edges_per_node_mean_ratio_vs_1mm,world_edges_per_node_mean_delta_vs_1mm,world_degree_tube_mean_mean_ratio_vs_1mm,world_degree_tube_mean_mean_delta_vs_1mm,world_len_mm_mean_mean_ratio_vs_1mm,world_len_mm_mean_mean_delta_vs_1mm,world_zlen_abs_p95_mean_ratio_vs_1mm,world_zlen_abs_p95_mean_delta_vs_1mm,world_raw_outside_train_range_frac_mean_ratio_vs_1mm,world_raw_outside_train_range_frac_mean_delta_vs_1mm
4,0.8,1.5501770956316412,5126.0,1.6538124452234881,13428.0,1.0013589873556186,0.010805606842041016,0.7780565368724288,-0.27228814363479614,1.7976600901646933,0.8925577402114868,5.007948875427246e+29,0.5007948875427246,3.0197910186522705,153247.2,1.9480296974855094,7.720260559340835,2.117325204763388,17.310710906982422,1.0275432439848364,0.03955321311950688,0.9780669653223195,-0.08293838500976536,1.027509246398405,0.02360736131668084
4,1.25,0.6604057099924868,-3164.0,0.65722076151524,-7040.0,0.9985888984388287,-0.011219978332519531,1.2324932470597174,0.28523099422454834,2.4429688659398647,1.6146389245986938,9.407320022583007e+29,0.9407320022583008,0.4161965816471779,-44294.8,0.6302134814247939,-3.0113489928681867,0.599474047710208,-6.205345535278321,0.9767773566775735,-0.03334865570068346,0.9989423785723316,-0.003999328613281339,0.992484611168407,-0.0064494132995606135
3,0.8,1.5623842694647738,19134.0,1.5952872377020983,48454.0,1.0006454241698348,0.005147457122802734,0.7918168087714246,-0.2519609332084656,1.9434899868381583,0.9662246704101562,5.0040817260742185e+29,0.5004081726074219,3.1166521713051822,564621.2,1.994805139949889,7.799613811007634,2.2372158583648303,17.43196716308594,1.0346138571128962,0.050142979621887074,0.9638749961248717,-0.13807921409606916,1.164674245910952,0.12758688926696782
3,1.25,0.6500308614760603,-11907.0,0.6558061821219716,-28016.0,0.9992770292671013,-0.0057659149169921875,1.2346394087664603,0.28398048877716064,2.5691032777956457,1.6069129705429077,9.40951645374298e+29,0.9409516453742981,0.41539257437619964,-155945.2,0.6390351581660987,-2.8300882781905425,0.5870706298238324,-5.818039894104004,0.9805642560895705,-0.028155374526977583,0.9987685668549621,-0.004706859588623047,1.150554814276881,0.11664738655090334
139,0.8,1.5408440901037712,17095.0,1.5438315524167083,41428.0,1.0006257171170228,0.0049896240234375,0.8049058860324013,-0.23238134384155273,1.8751895178118363,0.9282221794128418,5.004336833953857e+29,0.5004336833953857,2.7049534005455005,494076.39999999997,1.75550103863093,6.9265926152749575,1.9187768225896946,15.592699813842774,1.0031321836258194,0.004630494117736861,0.9822696146063882,-0.06643424034118661,1.0292690980293986,0.02456411123275759
139,1.25,0.6329410275879525,-11602.0,0.6090997400824385,-29778.0,0.9990951499030211,-0.0072154998779296875,1.2810391443047475,0.33475255966186523,2.6494741270603615,1.7494250535964966,9.372414350509643e+29,0.9372414350509644,0.35042072019346504,-188240.8,0.5536388145493873,-4.09233334277115,0.5136990157961591,-8.25308723449707,0.9527807880609935,-0.06980698108673078,1.0212252601681924,0.07952923774719256,1.0614972259378967,0.051611590385436945
15,0.8,1.5563302752293577,28804.0,1.599499943175361,73850.0,1.0004977514254116,0.003972530364990234,0.7907514071809348,-0.2540959119796753,1.895202598424058,0.9370131492614746,5.003146529197693e+29,0.5003146529197693,3.1575276032963457,876430.0000000001,2.0288287476968967,8.072050262828284,2.363568677345288,18.443681716918945,1.0386743007122619,0.05580506324768053,0.9711464760910826,-0.10858492851257351,1.0470140995059187,0.04006503820419305
15,1.25,0.6391501690004828,-18683.0,0.6338220252301398,-45108.0,0.9993914180747517,-0.004857063293457031,1.2559121134921598,0.31076061725616455,2.6798160311393593,1.7582720518112183,9.485642910003661e+29,0.9485642910003662,0.39854896218695507,-244321.19999999998,0.6235607553858816,-2.9534910549772926,0.6113692888740067,-5.256633758544922,0.990221654256873,-0.014109659194946333,0.9904521725673087,-0.03593149185180655,0.9916458708238096,-0.007119321823120139
128,0.8,1.5530507929321211,46417.0,1.5317028202690635,110742.0,1.0003473494644328,0.002773761749267578,0.808030028108294,-0.22986948490142822,1.8902575309005256,0.9204039573669434,5.002444982528686e+29,0.5002444982528687,2.8017694833169333,1283967.5999999999,1.8040424022624928,6.826871709180448,2.0168605782369644,15.620323181152344,1.007617825283388,0.011446571350097745,0.9799838846923358,-0.07536725997924787,1.041761002957886,0.03669137954711921
128,1.25,0.6408035363223678,-30147.0,0.6304074362150587,-76978.0,0.9995310752373748,-0.0037446022033691406,1.2593859740468676,0.3105950355529785,2.6193877132158176,1.6742243766784668,9.398629069328308e+29,0.9398629069328308,0.3581542230108047,-457388.80000000005,0.5589142423687077,-3.745120744406247,0.5050105000684774,-7.603693294525146,0.9487375404333613,-0.07702715396881099,1.0517930594102505,0.1950179100036622,1.002041216002098,0.0017934203147889072
