mean_free_mm,final_free_mm,p95_free_mm,p99_free_mm,max_free_mm,max_pred_frame,max_free_local_index,rel_l2_pct,case,sample_id,method,ood_label
0.012777474708855152,0.027988780289888382,0.056817006319761276,0.08616811782121658,0.1147538349032402,180,1066,0.08850509853579006,trajectory_bend_Base_TC4_sample_0156.npz,156,roundtrip,D_low
0.06171311065554619,0.17781707644462585,0.1378243863582611,0.2233836054801941,0.4934884309768677,180,760,0.28127005105406716,trajectory_bend_Base_TC4_sample_0156.npz,156,pod_oracle,D_low
0.5130983591079712,1.1054264307022095,1.0849814414978027,1.4740182161331177,2.507993698120117,180,1185,2.2727214916369363,trajectory_bend_Base_TC4_sample_0156.npz,156,rom,D_low
0.01333952322602272,0.030296344310045242,0.05639495700597763,0.0836571604013443,0.10836859792470932,180,1562,0.06124249219306286,trajectory_bend_Base_TC4_sample_0157.npz,157,roundtrip,D_low
0.048288945108652115,0.22105631232261658,0.1256776750087738,0.23544001579284668,0.4723948836326599,180,1227,0.16763947671446272,trajectory_bend_Base_TC4_sample_0157.npz,157,pod_oracle,D_low
0.32709479331970215,0.49582037329673767,0.7130339741706848,0.87367182970047,1.3893018960952759,180,732,0.9715523742404203,trajectory_bend_Base_TC4_sample_0157.npz,157,rom,D_low
0.022429941222071648,0.04868625849485397,0.09008070826530457,0.13280026614665985,0.19023817777633667,180,19056,0.02993935315307983,trajectory_bend_Base_TC4_sample_0158.npz,158,roundtrip,D_high
0.050001438707113266,0.0904364213347435,0.13862013816833496,0.18223820626735687,0.3502379357814789,23,18447,0.0493986494393782,trajectory_bend_Base_TC4_sample_0158.npz,158,pod_oracle,D_high
0.12066130340099335,0.288700670003891,0.300611674785614,0.43941619992256165,0.8281448483467102,180,19600,0.11327956419683509,trajectory_bend_Base_TC4_sample_0158.npz,158,rom,D_high
0.023434605449438095,0.05082206428050995,0.09211849421262741,0.13735148310661316,0.19970813393592834,180,22485,0.027438309572139923,trajectory_bend_Base_TC4_sample_0159.npz,159,roundtrip,D_high
0.05275609716773033,0.1273265928030014,0.14859966933727264,0.19732308387756348,0.4177226424217224,180,10478,0.046618190613552754,trajectory_bend_Base_TC4_sample_0159.npz,159,pod_oracle,D_high
0.2064390629529953,0.3062201738357544,0.49554237723350525,0.7281750440597534,1.108384609222412,180,23112,0.16549998622072903,trajectory_bend_Base_TC4_sample_0159.npz,159,rom,D_high
0.012285122647881508,0.028448399156332016,0.05514787510037422,0.0844811350107193,0.11574435979127884,180,1951,0.060421645663694436,trajectory_bend_Base_TC4_sample_0162.npz,162,roundtrip,tD_high
0.0403161495923996,0.1192222386598587,0.11438944190740585,0.15525202453136444,0.24970056116580963,180,1952,0.13696581332209457,trajectory_bend_Base_TC4_sample_0162.npz,162,pod_oracle,tD_high
0.14915545284748077,0.1577073037624359,0.3682304322719574,0.4403632879257202,0.5296249389648438,83,2150,0.47127544650079606,trajectory_bend_Base_TC4_sample_0162.npz,162,rom,tD_high
0.013985300436615944,0.031314656138420105,0.05828814208507538,0.08591464906930923,0.11660847067832947,180,3689,0.04245338196170368,trajectory_bend_Base_TC4_sample_0163.npz,163,roundtrip,tD_high
0.046448301523923874,0.09652663767337799,0.11763927340507507,0.15271678566932678,0.24816013872623444,180,1788,0.09860473815820006,trajectory_bend_Base_TC4_sample_0163.npz,163,pod_oracle,tD_high
0.8138477802276611,1.3613749742507935,1.4391530752182007,1.9625871181488037,2.6362078189849854,176,3799,1.5295645270556277,trajectory_bend_Base_TC4_sample_0163.npz,163,rom,tD_high
0.015919262543320656,0.035446252673864365,0.06358888745307922,0.09552197903394699,0.13557414710521698,180,8426,0.028860504630900626,trajectory_bend_Base_TC4_sample_0166.npz,166,roundtrip,RD_high
0.0458020456135273,0.15716665983200073,0.12265731394290924,0.18710151314735413,0.7345770001411438,180,2564,0.0645456345995165,trajectory_bend_Base_TC4_sample_0166.npz,166,pod_oracle,RD_high
0.12688617408275604,0.2824231684207916,0.31743574142456055,0.457932710647583,0.9359982013702393,180,2914,0.16305713329108998,trajectory_bend_Base_TC4_sample_0166.npz,166,rom,RD_high
0.021839117631316185,0.04720563814043999,0.0839768499135971,0.12306282669305801,0.18125897645950317,180,17998,0.025590647304754084,trajectory_bend_Base_TC4_sample_0167.npz,167,roundtrip,RD_high
0.06940155476331711,0.22546729445457458,0.18338249623775482,0.25902172923088074,1.0514681339263916,180,5868,0.06317218567550045,trajectory_bend_Base_TC4_sample_0167.npz,167,pod_oracle,RD_high
0.1786380410194397,0.4598715603351593,0.44748494029045105,0.5405715703964233,1.1158404350280762,180,5815,0.15060367577433836,trajectory_bend_Base_TC4_sample_0167.npz,167,rom,RD_high
0.01332483533769846,0.030254507437348366,0.05604144558310509,0.08425769209861755,0.1095125824213028,180,1598,0.061129965752495616,trajectory_bend_Base_TC4_sample_0168.npz,168,roundtrip,D_low+tD_high
0.04815458878874779,0.22489812970161438,0.1291940063238144,0.23935595154762268,0.48487815260887146,180,753,0.16953068754635925,trajectory_bend_Base_TC4_sample_0168.npz,168,pod_oracle,D_low+tD_high
0.44066113233566284,0.5853899121284485,0.9700620770454407,1.2142874002456665,1.7861835956573486,1,1704,1.3243889647555152,trajectory_bend_Base_TC4_sample_0168.npz,168,rom,D_low+tD_high
0.013070276938378811,0.03066457062959671,0.05574039742350578,0.08264422416687012,0.10839046537876129,180,1832,0.050322614726555366,trajectory_bend_Base_TC4_sample_0169.npz,169,roundtrip,D_low+RD_high
0.058997269719839096,0.2891044020652771,0.1472214311361313,0.27556538581848145,0.8954583406448364,180,732,0.17491598717977141,trajectory_bend_Base_TC4_sample_0169.npz,169,pod_oracle,D_low+RD_high
