epoch,global_step,train_loss,step1_loss,last_step_loss,lr,epoch_time_sec,peak_reserved_gib,val_mean_free_mm,val_final_free_mean_mm,val_max_free_mm,best_val_metric,trainable_parameters,data_fingerprint
1,5370,0.4284686111001336,0.2731024407236221,0.7392009172640616,2e-05,1601.0148409102112,18.302734375,,,,inf,1438605,dded84cde3e888c8441d8bec
2,10740,0.2773095916730336,0.19320084181470273,0.44552706598826236,2e-05,1720.2139628166333,18.302734375,,,,inf,1438605,dded84cde3e888c8441d8bec
3,16110,0.2601457606873161,0.18297702583303985,0.4144832065671481,2e-05,1630.3171828445047,18.302734375,,,,inf,1438605,dded84cde3e888c8441d8bec
4,21480,0.25115978702546393,0.1778459641959317,0.39778741488946007,2e-05,1577.7218753658235,18.302734375,,,,inf,1438605,dded84cde3e888c8441d8bec
5,26850,0.24465854505924214,0.17402091671277387,0.3859337779720187,2e-05,1639.4791617654264,18.302734375,0.06868191783626874,0.1220450907945633,1.516361117362976,0.06868191783626874,1438605,dded84cde3e888c8441d8bec
6,32220,0.24144136712429404,0.17194180178323334,0.38044047595523783,2e-05,1624.8727203123271,18.302734375,,,,0.06868191783626874,1438605,dded84cde3e888c8441d8bec
7,37590,0.23685564129904704,0.16951327470046237,0.37154034818071713,2e-05,1666.823837051168,18.302734375,,,,0.06868191783626874,1438605,dded84cde3e888c8441d8bec
8,42960,0.23319647748025873,0.16719799318469653,0.365193427577476,2e-05,1576.358169555664,18.302734375,,,,0.06868191783626874,1438605,dded84cde3e888c8441d8bec
9,48330,0.22961300457186054,0.16556031824565653,0.3577183588163397,2e-05,1690.5388089977205,18.302734375,,,,0.06868191783626874,1438605,dded84cde3e888c8441d8bec
10,53700,0.2277964649576732,0.16443977775190935,0.3545098190109577,2e-05,1644.0573619445786,18.302734375,0.0596378597120444,0.09663315589229265,1.2953206300735474,0.0596378597120444,1438605,dded84cde3e888c8441d8bec
